Time  Yaw  Pitch  Roll
5,72 173,8138 7,164665 14,09808
5,74 173,4653 7,068952 13,62455
5,76 173,3911 6,871771 13,27835
5,78 173,4994 6,836171 13,11183
5,8 173,6989 6,951838 13,49137
5,82 173,7052 7,1359 13,90811
5,84 173,8644 7,233652 14,08027
5,86 174,0394 7,287547 13,95951
5,88 174,0985 7,322969 13,8945
5,9 174,2079 7,331439 13,71174
5,92 174,3703 7,346771 13,74007
5,94 174,3829 7,569924 13,84532
5,96 174,4796 7,885382 13,96291
5,98 174,5122 8,007394 14,06431
6 174,7034 8,297331 14,23976
6,02 174,8101 8,573569 14,26418
6,04 174,816 8,703923 14,20705
6,06 174,8214 8,581821 14,13401
6,08 174,7853 8,524214 14,13936
6,1 174,7157 8,423359 14,14286
6,12 174,7023 8,352087 14,11871
6,14 174,5783 8,20304 14,02416
6,16 174,3517 7,952469 13,89053
6,18 174,3029 7,831563 13,85536
6,2 174,1534 7,755356 13,9749
6,22 174,1466 7,839118 13,98883
6,24 174,0482 7,798078 13,95784
6,26 173,914 7,648264 13,93044
6,28 173,8027 7,54739 13,87734
6,3 173,6145 7,179308 13,65317
6,32 173,4382 6,843662 13,58425
6,34 173,0472 6,483458 13,43511
6,36 172,7202 6,336916 13,31447
6,38 172,6145 6,240438 13,27303
6,4 172,3075 6,13072 13,25282
6,42 172,0915 6,027987 13,26951
6,44 171,8572 5,962799 13,22137
6,46 171,7095 6,020484 13,1855
6,48 171,7643 6,093814 13,19109
6,5 171,7229 6,206182 13,15549
6,52 171,7757 6,294337 13,16449
6,54 171,8906 6,53104 13,34227
6,56 171,9215 6,471658 13,27269
6,58 171,9191 6,393353 13,29714
6,6 171,9976 6,242963 13,29834
6,62 172,0447 6,112226 13,29793
6,64 172,0238 5,877747 13,31116
6,66 172,0557 5,735822 13,49778
6,68 172,1111 5,661508 13,48073
6,7 172,1329 5,46967 13,48224
6,72 172,344 5,068965 13,29087
6,74 172,6573 4,664909 13,03016
6,76 172,9065 4,168156 12,70128
6,78 173,0583 3,998063 12,64805
6,8 173,3564 3,766914 12,61869
6,82 173,4523 3,511564 12,48172
6,84 173,5337 3,133025 12,32439
6,86 173,7201 2,597654 12,10941
6,88 173,7897 2,362813 12,05133
6,9 173,9073 1,973131 11,92171
6,92 173,9492 1,660201 11,90443
6,94 173,9966 1,310844 11,94553
6,96 174,1161 1,181883 11,96046
6,98 174,2351 1,157741 12,03182
7 174,4562 1,178027 12,03554
7,02 174,6002 0,9502177 12,02756
7,04 174,5444 0,7435908 11,9927
7,06 174,5913 0,7106811 11,95979
7,08 174,5635 0,8069472 11,99326
7,1 174,5354 0,790607 11,99554
7,12 174,4399 0,8996693 11,9917
7,14 174,4123 1,104982 11,99884
7,16 174,3565 1,176435 11,97965
7,18 174,3429 1,190802 11,9784
7,2 174,2961 1,189082 12,02452
7,22 174,2743 1,294398 12,1113
7,24 174,1073 1,469967 12,39943
7,26 174,0932 1,611251 12,50421
7,28 173,9967 1,905832 12,72936
7,3 173,8857 2,09904 12,91042
7,32 173,917 2,290277 12,93976
7,34 173,9833 2,27939 12,87161
7,36 174,0287 2,276896 12,8813
7,38 174,0254 2,278864 12,88502
7,4 174,0517 2,279476 12,91102
7,42 174,0307 2,413207 12,98896
7,44 174,0443 2,499159 13,04505
7,46 174,0075 2,562849 13,09707
7,48 174,0011 2,588762 13,09676
7,5 173,9985 2,737929 13,21036
7,52 173,9375 2,855965 13,29587
7,54 173,8306 2,91666 13,28481
7,56 173,6432 2,961146 13,1781
7,58 173,5486 2,931051 13,10067
7,6 173,4484 2,828207 13,00265
7,62 173,4953 2,836859 13,03621
7,64 173,4879 2,838964 13,04762
